trade_number,trade_type,buy_time,sell_time,buy_price,sell_price,quantity,notional,risk_amount,risk_percent,buy_fee,sell_fee,profit,profit_percent,exit_reason,balance_after_trade
1,NORMAL,2026-06-11 18:00:00,2026-06-14 16:00:00,1684.82199,1660.54931,2.96767257,5000.0,100.0,1.0,5.0,4.92796663,-81.9613332,-1.6376,STRATEGY SELL,9918.0386668
2,NORMAL,2026-06-15 04:00:00,2026-06-15 13:00:00,1717.89852,1802.89154928,2.88667769,4959.0193334,99.18038667,1.0,4.95901933,5.20436681,235.18409537,4.7378,TAKE PROFIT,10153.22276217
3,NORMAL,2026-06-16 08:00:00,2026-06-16 14:00:00,1804.131615,1767.16495821,2.77141643,5000.0,100.0,1.0,5.0,4.89755,-112.34755,-2.2447,STOP LOSS,10040.87521217
4,NORMAL,2026-06-17 17:00:00,2026-06-17 18:00:00,1790.164635,1753.48416163,2.7930392,5000.0,100.0,1.0,5.0,4.89755,-112.34755,-2.2447,STOP LOSS,9928.52766217
5,NORMAL,2026-06-20 14:00:00,2026-06-21 23:00:00,1734.34674,1706.08653,2.86232488,4964.26383109,99.28527662,1.0,4.96426383,4.88337393,-90.73754007,-1.826,STRATEGY SELL,9837.79012211
6,NORMAL,2026-06-22 01:00:00,2026-06-22 15:00:00,1744.69191,1743.86763,2.81934881,4918.89506105,98.37790122,1.0,4.91889506,4.91657113,-12.15939903,-0.247,ATR TRAILING,9825.63072308
7,NORMAL,2026-07-01 15:00:00,2026-07-02 07:00:00,1620.900045,1615.162015,3.03091815,4912.81536154,98.25630723,1.0,4.91281536,4.89542386,-27.19973848,-0.5531,ATR TRAILING,9798.4309846
8,NORMAL,2026-07-02 11:00:00,2026-07-03 08:00:00,1651.14516,1732.83556679,2.96716219,4899.2154923,97.98430985,1.0,4.89921549,5.14160418,232.34786681,4.7378,TAKE PROFIT,10030.77885141
9,NORMAL,2026-07-03 14:00:00,2026-07-04 01:00:00,1738.00857,1747.056035,2.87685578,5000.0,100.0,1.0,5.0,5.02602825,16.00222373,0.3197,ATR TRAILING,10046.78107514
10,NORMAL,2026-07-04 06:00:00,2026-07-04 23:00:00,1755.647385,1779.74968,2.8479523,5000.0,100.0,1.0,5.0,5.06864219,58.57354418,1.1703,ATR TRAILING,10105.35461932
11,NORMAL,2026-07-05 22:00:00,2026-07-06 12:00:00,1790.895,1754.19956145,2.79190014,5000.0,100.0,1.0,5.0,4.89755,-112.34755,-2.2447,STOP LOSS,9993.00706932
12,NORMAL,2026-07-06 15:00:00,2026-07-06 23:00:00,1789.464285,1798.66022,2.79217841,4996.50353466,99.93007069,1.0,4.99650353,5.02218023,15.65800737,0.3131,ATR TRAILING,10008.66507669
13,NORMAL,2026-07-10 08:00:00,2026-07-10 18:00:00,1784.881995,1784.04753,2.80130564,5000.0,100.0,1.0,5.0,4.99766241,-12.33525392,-0.2465,ATR TRAILING,9996.32982277
14,NORMAL,2026-07-11 06:00:00,2026-07-11 23:00:00,1800.21966,1786.86612,2.77641947,4998.16491138,99.96329823,1.0,4.99816491,4.96108988,-47.03428322,-0.9401,ATR TRAILING,9949.29553955
15,NORMAL,2026-07-15 16:00:00,2026-07-16 08:00:00,1920.57981,1881.22712969,2.59018019,4974.64776977,99.4929554,1.0,4.97464777,4.87271724,-111.77789781,-2.2447,STOP LOSS,9837.51764174
16,NORMAL,2026-07-19 01:00:00,2026-07-19 22:00:00,1860.10959,1864.277395,2.64433819,4918.75882087,98.37517642,1.0,4.91875882,4.92977991,1.17254719,0.0238,END OF BACKTEST,9838.69018893
