trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,BTCUSDT,2026-05-03 10:00:00,2026-05-03 21:45:00,78568.834785,78647.34469316,78087.7499965,78686.68803718,0.05091077,0.0,4000.0,0.2449,100.0,1.5405,4.0,4.003997,False,-4.006997,-0.1001,STOP LOSS,9995.993003
2,XRPUSDT,2026-05-05 07:00:00,2026-05-05 14:15:00,1.40780355,1.4092103,1.39525081,1.40991526,1274.08643512,0.0,1793.66340637,0.1596,100.0,1.9281,1.79366341,1.79545572,False,-1.79680097,-0.1001,STOP LOSS,6803.42125093
3,ETHUSDT,2026-05-04 17:00:00,2026-05-05 17:15:00,2356.447635,2358.8023153,2326.8891867,2359.98230645,1.35270876,0.0,3187.58736373,0.4,100.0,2.2185,3.18758736,3.19077256,False,-3.19316325,-0.1001,STOP LOSS,9991.00303878
4,BTCUSDT,2026-05-06 06:00:00,2026-05-06 14:00:00,81373.6665,81641.66137572,80581.19638098,81682.50262703,0.04911173,0.0,3996.40121551,0.3895,100.0,1.5705,3.99640122,4.00956291,False,5.15572679,0.1289,STOP LOSS,9996.15876557
5,LINKUSDT,2026-05-07 06:00:00,2026-05-07 14:45:00,10.015005,9.89206726,9.82707339,9.89701577,119.67841796,0.0,1198.57995426,0.225,100.0,1.547,1.19857995,1.18386696,False,-17.09544079,-1.4249,STOP LOSS,9979.06332478
6,SOLUSDT,2026-05-09 16:00:00,2026-05-10 01:15:00,93.056505,92.86535529,92.41445039,92.9118112,26.80915032,0.0,2494.7658312,0.1725,100.0,3.0195,2.49476583,2.48964127,False,-10.10896828,-0.4048,STOP LOSS,9968.9543565
7,LINKUSDT,2026-05-10 22:00:00,2026-05-11 02:30:00,10.56528,10.57583736,10.39345489,10.58112792,174.05409336,0.0,1838.93023153,0.3,100.0,2.1174,1.83893023,1.84076778,False,-1.84214698,-0.1001,STOP LOSS,9967.11220952
8,BTCUSDT,2026-05-15 03:00:00,2026-05-15 05:45:00,81339.78957,80383.88577022,80424.09781913,80424.09781913,0.03673617,0.0,2988.11197139,0.3375,100.0,1.5217,2.98811197,2.95299573,False,-41.05734789,-1.3727,STOP LOSS,9926.05486162
9,XRPUSDT,2026-06-16 09:00:00,2026-06-16 14:00:00,1.24852395,1.22476795,1.21787241,1.22538064,728.62964994,0.0,909.71156863,0.225,100.0,1.7131,0.90971157,0.89240224,False,-19.11144001,-2.0987,STOP LOSS,9906.94342161
10,ETHUSDT,2026-06-22 08:00:00,2026-06-22 14:45:00,1747.21317,1752.20932938,1724.74654783,1753.08587232,0.61734785,0.0,1078.63828583,0.14,100.0,1.5834,1.07863829,1.08172265,False,0.92400729,0.0856,STOP LOSS,9907.8674289
11,BTCUSDT,2026-07-03 06:00:00,2026-07-03 15:45:00,61731.340245,61793.02528674,61116.82632627,61823.93725537,0.05441545,0.0,3359.13877441,0.3375,100.0,1.7914,3.35913877,3.36249539,False,-3.36501475,-0.1001,STOP LOSS,9904.50241415
12,SOLUSDT,2026-07-04 08:00:00,2026-07-04 10:45:00,82.76136,81.50104252,81.54181342,81.54181342,18.2732918,0.0,1512.32248087,0.225,100.0,1.7807,1.51232248,1.48929233,False,-26.03176392,-1.7196,STOP LOSS,9878.47065023
13,BTCUSDT,2026-07-10 17:00:00,2026-07-10 20:30:00,64172.07,63624.95171869,63656.78010874,63656.78010874,0.06157489,0.0,3951.38826009,0.3212,100.0,2.2108,3.95138826,3.91769951,False,-41.55783669,-1.0507,STOP LOSS,9836.91281354
14,BTCUSDT,2026-07-11 11:00:00,2026-07-11 15:45:00,64228.098,63870.19734465,63902.14841886,63902.14841886,0.06126236,0.0,3934.76512542,0.203,100.0,1.9848,3.93476513,3.91283929,False,-29.77344467,-0.7559,STOP LOSS,9807.13936887
15,ETHUSDT,2026-07-12 04:00:00,2026-07-12 06:30:00,1812.435765,1791.36004847,1792.25617655,1792.25617655,1.4579791,0.0,2642.49345691,0.3,100.0,1.591,2.64249346,2.6117655,False,-35.98221309,-1.3603,STOP LOSS,9771.15715579
16,BTCUSDT,2026-07-15 09:00:00,2026-07-15 14:00:00,64800.384,64865.13578371,64298.95078735,64897.584576,0.06031543,0.0,3908.46286231,0.3095,100.0,2.0045,3.90846286,3.91236839,False,-3.91529974,-0.1001,STOP LOSS,9767.24185605
17,BTCUSDT,2026-07-16 06:00:00,2026-07-16 07:45:00,64950.448995,64317.89654561,64350.0715814,64350.0715814,0.0549062,0.0,3566.18222554,0.3375,100.0,1.4943,3.56618223,3.53145118,False,-41.82868356,-1.1718,STOP LOSS,9725.41317249
18,BTCUSDT,2026-07-19 15:00:00,2026-07-19 18:15:00,64625.366535,64470.52627535,64297.58349574,64502.77766418,0.06019564,0.0,3890.165269,0.2029,100.0,1.5297,3.89016527,3.88084456,False,-17.09171829,-0.4389,STOP LOSS,9708.3214542
19,ETHUSDT,2026-07-19 23:00:00,2026-07-20 00:00:00,1871.37522,1871.293885,1858.25380166,1858.25380166,1.8157302,0.0,3397.91250897,0.2454,100.0,2.1686,3.39791251,3.39776483,False,-6.94335975,-0.2041,END OF BACKTEST,9701.37809445
