route,rr_bucket,trades,winners,losers,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expectancy,total_fees,pre_fee_profit,fees_as_percent_of_absolute_net,average_hold_hours,median_hold_hours,partial_profit_trades,stop_loss_exits,longest_losing_streak,edge_label
ADAPTIVE_BREAKOUT,1.8-1.99,2,1,1,50.0,0.5645170999999998,7.18139239,6.61687529,1.085314755871725,0.2822585499999999,6.999764979999999,7.564282079999999,1239.9562351609902,4.0,4.0,1,2,1,INSUFFICIENT_SAMPLE
ADAPTIVE_BREAKOUT,2.0-2.19,9,0,9,0.0,-146.21921121,0.0,146.21921121,0.0,-16.246579023333332,49.03874409,-97.18046712,33.53782562783119,2.2777777777777777,2.0,0,9,9,REJECT
ADAPTIVE_BREAKOUT,2.2+,10,2,8,20.0,-107.79999658999999,77.37970987,185.17970645999998,0.41786279581728636,-10.779999659,41.60133894,-66.19865765,38.59122472723633,5.65,5.0,2,10,7,REJECT
IGNITION,1.8-1.99,11,5,6,45.45454545454545,-39.56479782,61.79961283,101.36441065,0.6096776218961818,-3.596799801818182,64.52674123999999,24.96194341999999,163.0912952811343,8.954545454545455,6.75,5,10,3,REJECT
IGNITION,2.0-2.19,11,4,7,36.36363636363637,9.988269069999998,137.65820200000002,127.66993293,1.0782350929523592,0.9080244609090907,49.57416422,59.56243329,496.32387626497945,11.409090909090908,6.0,4,11,4,WATCH_POSITIVE
IGNITION,2.2+,1,0,1,0.0,-28.22896608,0.0,28.22896608,0.0,-28.22896608,4.75761332,-23.47135276,16.853657716393418,1.0,1.0,0,1,1,INSUFFICIENT_SAMPLE
IGNITION,<1.8,2,1,1,50.0,-0.8606261500000001,0.64410331,1.50472946,0.42805256833344646,-0.43031307500000004,6.02019765,5.1595715,699.5136796621854,7.5,7.5,1,2,1,INSUFFICIENT_SAMPLE
PULLBACK,2.2+,1,0,1,0.0,-3.18680736,0.0,3.18680736,0.0,-3.18680736,6.365664000000001,3.1788566400000007,199.75051143348685,24.25,24.25,0,1,1,INSUFFICIENT_SAMPLE
PULLBACK,<1.8,3,1,2,33.33333333333333,-53.21995228,4.66786495,57.88781723,0.0806363959354976,-17.739984093333334,15.533047600000002,-37.68690468,29.186511701998093,6.5,8.0,0,3,2,REJECT
