period,month,route,symbol,trades,winners,win_rate,net_profit,profit_factor,expectancy,fees,pre_fee_profit,average_hold_hours
DEVELOPMENT,2025-08,ADAPTIVE_BREAKOUT,SOLUSDT,2,1,50.0,-26.17876347,0.22424207906350155,-13.089381735,9.971541850000001,-16.20722162,4.75
DEVELOPMENT,2025-08,IGNITION,LINKUSDT,2,1,50.0,-19.458443189999997,0.3932344495338425,-9.729221594999999,4.9718988,-14.486544389999997,4.125
DEVELOPMENT,2025-09,ADAPTIVE_BREAKOUT,SOLUSDT,4,2,50.0,-5.474741169999998,0.8169623368128087,-1.3686852924999995,17.92536605,12.450624880000003,5.6875
DEVELOPMENT,2025-09,IGNITION,LINKUSDT,2,0,0.0,-27.664475510000003,0.0,-13.832237755000001,6.36981821,-21.294657300000004,6.5
DEVELOPMENT,2025-10,ADAPTIVE_BREAKOUT,SOLUSDT,4,2,50.0,88.29859347,2.399493471024784,22.0746483675,18.90900823,107.2076017,15.5
DEVELOPMENT,2025-12,ADAPTIVE_BREAKOUT,SOLUSDT,2,0,0.0,-35.62518705,0.0,-17.812593525,5.88689048,-29.738296570000003,7.25
DEVELOPMENT,2026-01,ADAPTIVE_BREAKOUT,SOLUSDT,3,1,33.33333333333333,5.354153309999999,2.150432503716694,1.7847177699999996,14.007218570000001,19.36137188,7.666666666666667
DEVELOPMENT,2026-01,IGNITION,LINKUSDT,3,1,33.33333333333333,-25.40915229,0.3727277202484939,-8.469717430000001,11.00491409,-14.404238200000002,4.333333333333333
DEVELOPMENT,2026-02,IGNITION,LINKUSDT,1,0,0.0,-25.61774201,0.0,-25.61774201,2.58162927,-23.03611274,5.0
DEVELOPMENT,2026-03,ADAPTIVE_BREAKOUT,SOLUSDT,6,1,16.666666666666664,-60.37651676,0.3558846928084159,-10.062752793333333,25.29743955,-35.07907721,3.5
DEVELOPMENT,2026-03,IGNITION,LINKUSDT,3,0,0.0,-57.13313488,0.0,-19.044378293333335,11.85719705,-45.275937830000004,6.75
DEVELOPMENT,2026-04,ADAPTIVE_BREAKOUT,SOLUSDT,3,0,0.0,-31.98366277,0.0,-10.661220923333333,13.77413667,-18.209526099999998,5.833333333333333
DEVELOPMENT,2026-04,IGNITION,LINKUSDT,3,0,0.0,-57.94500706,0.0,-19.315002353333334,13.78213261,-44.162874450000004,4.916666666666667
VALIDATION,2026-05,ADAPTIVE_BREAKOUT,SOLUSDT,2,0,0.0,-18.807114040000002,0.0,-9.403557020000001,8.07189773,-10.735216310000002,11.25
VALIDATION,2026-05,IGNITION,LINKUSDT,2,1,50.0,57.380480469999995,3.1899012234012787,28.690240234999997,6.53250446,63.91298492999999,25.875
VALIDATION,2026-06,ADAPTIVE_BREAKOUT,SOLUSDT,1,1,100.0,57.73088879,inf,57.73088879,4.9695087099999995,62.7003975,11.5
VALIDATION,2026-07,IGNITION,LINKUSDT,3,2,66.66666666666666,-1.3339269700000003,0.9561140149355105,-0.4446423233333334,11.47983404,10.14590707,15.5
