feature,bucket,minimum_value,maximum_value,trades,wins,losses,win_rate_percent,net_pnl_eur,gross_profit_eur,gross_loss_eur,profit_factor,average_trade_eur,average_win_eur,average_loss_eur,explicit_fees_eur,discovery_only
relative_strength_percentile,"(66.666, 83.333]",66.6667,83.3333,20,6,14,30.0,-129.25260753,102.19689996,231.44950749,0.4415516,-6.46263038,17.03281666,16.53210768,85.1738221,True
relative_strength_percentile,"(83.333, 100.0]",100.0,100.0,18,3,15,16.6667,-149.96147185,152.27410129,302.23557314,0.50382587,-8.33119288,50.75803376,20.14903821,71.16536933,True
setup_score,"(94.999, 100.0]",95.0,100.0,38,9,29,23.6842,-279.21407938,254.47100125,533.68508063,0.47681865,-7.34773893,28.27455569,18.40293381,156.33919143,True
selection_score,"(58.749, 100.0]",58.75,100.0,38,9,29,23.6842,-279.21407938,254.47100125,533.68508063,0.47681865,-7.34773893,28.27455569,18.40293381,156.33919143,True
theoretical_rr_at_signal_close,"(2.1990000000000003, 2.4]",2.2,2.4,38,9,29,23.6842,-279.21407938,254.47100125,533.68508063,0.47681865,-7.34773893,28.27455569,18.40293381,156.33919143,True
actual_rr_after_gap_and_slippage,"(2.025, 2.104]",2.025609,2.102719,10,1,9,10.0,-146.47561067,15.09822084,161.57383151,0.09344472,-14.64756107,15.09822084,17.95264795,40.69890732,True
actual_rr_after_gap_and_slippage,"(2.104, 2.224]",2.107007,2.222219,9,4,5,44.4444,-47.5416035,36.7080763,84.2496798,0.43570583,-5.28240039,9.17701908,16.84993596,34.35044727,True
actual_rr_after_gap_and_slippage,"(2.224, 2.251]",2.226107,2.247715,9,2,7,22.2222,-3.8550551,151.39184492,155.24690002,0.97516823,-0.42833946,75.69592246,22.17812857,40.47075947,True
actual_rr_after_gap_and_slippage,"(2.251, 2.296]",2.252495,2.295572,10,2,8,20.0,-81.34181011,51.27285919,132.6146693,0.38663037,-8.13418101,25.63642959,16.57683366,40.81907737,True
opening_gap_atr,"(0.0247, 0.0445]",0.025693,0.044242,10,1,9,10.0,-173.55286532,12.6106866,186.16355192,0.06773983,-17.35528653,12.6106866,20.6848391,33.88224509,True
opening_gap_atr,"(0.0445, 0.0508]",0.04534,0.050504,9,2,7,22.2222,-8.74311421,126.44598308,135.18909729,0.93532678,-0.97145713,63.22299154,19.31272818,36.3958154,True
opening_gap_atr,"(0.0508, 0.0573]",0.051147,0.057025,9,1,8,11.1111,-194.34388423,6.52191744,200.86580167,0.03246903,-21.59376491,6.52191744,25.10822521,41.31164585,True
opening_gap_atr,"(0.0573, 0.0998]",0.057422,0.099818,10,5,5,50.0,97.42578438,108.89241413,11.46662975,9.49646204,9.74257844,21.77848283,2.29332595,44.74948509,True
gross_projected_target_move_percent,"(1.8570000000000002, 2.217]",1.857522,2.21067,10,3,7,30.0,-69.29108059,24.0973897,93.38847029,0.25803388,-6.92910806,8.03246323,13.34121004,47.99618773,True
gross_projected_target_move_percent,"(2.217, 2.595]",2.235069,2.594701,9,2,7,22.2222,-114.80544733,57.95788662,172.76333395,0.33547562,-12.75616081,28.97894331,24.68047628,37.93631106,True
gross_projected_target_move_percent,"(2.595, 3.073]",2.595368,3.063299,9,2,7,22.2222,28.25680635,126.44598308,98.18917673,1.28777924,3.13964515,63.22299154,14.02702525,41.30728571,True
gross_projected_target_move_percent,"(3.073, 7.589]",3.075725,7.588628,10,2,8,20.0,-123.37435781,45.96974185,169.34409966,0.27145759,-12.33743578,22.98487092,21.16801246,29.09940693,True
cost_as_percent_of_projected_target_move,"(3.952, 9.764]",3.9533,9.7538,10,2,8,20.0,-123.37435781,45.96974185,169.34409966,0.27145759,-12.33743578,22.98487092,21.16801246,29.09940693,True
cost_as_percent_of_projected_target_move,"(9.764, 11.561]",9.7934,11.5591,9,2,7,22.2222,28.25680635,126.44598308,98.18917673,1.28777924,3.13964515,63.22299154,14.02702525,41.30728571,True
cost_as_percent_of_projected_target_move,"(11.561, 13.533]",11.562,13.4224,9,2,7,22.2222,-114.80544733,57.95788662,172.76333395,0.33547562,-12.75616081,28.97894331,24.68047628,37.93631106,True
cost_as_percent_of_projected_target_move,"(13.533, 16.151]",13.5705,16.1505,10,3,7,30.0,-69.29108059,24.0973897,93.38847029,0.25803388,-6.92910806,8.03246323,13.34121004,47.99618773,True
target_move_to_round_trip_cost_multiple,"(6.191, 7.389]",6.19174,7.3689,10,3,7,30.0,-69.29108059,24.0973897,93.38847029,0.25803388,-6.92910806,8.03246323,13.34121004,47.99618773,True
target_move_to_round_trip_cost_multiple,"(7.389, 8.65]",7.45023,8.64900333,9,2,7,22.2222,-114.80544733,57.95788662,172.76333395,0.33547562,-12.75616081,28.97894331,24.68047628,37.93631106,True
target_move_to_round_trip_cost_multiple,"(8.65, 10.242]",8.65122667,10.21099667,9,2,7,22.2222,28.25680635,126.44598308,98.18917673,1.28777924,3.13964515,63.22299154,14.02702525,41.30728571,True
target_move_to_round_trip_cost_multiple,"(10.242, 25.295]",10.25241667,25.29542667,10,2,8,20.0,-123.37435781,45.96974185,169.34409966,0.27145759,-12.33743578,22.98487092,21.16801246,29.09940693,True
