feature,available_trades,winner_n,loser_n,overall_mean,winner_mean,loser_mean,winner_median,loser_median,winner_minus_loser_mean,cohens_d_winner_minus_loser,discovery_only,absolute_effect_size
opening_gap_atr,38,9,29,0.05263045,0.05929044,0.05056355,0.060068,0.050384,0.00872689,0.65065448,True,0.65065448
theoretical_rr_at_signal_close,38,9,29,2.32631579,2.35555556,2.31724138,2.4,2.4,0.03831418,0.39217797,True,0.39217797
actual_rr_after_gap_and_slippage,38,9,29,2.18547337,2.20699356,2.17879469,2.222219,2.226107,0.02819887,0.32737918,True,0.32737918
selection_score,38,9,29,98.51973684,100.0,98.06034483,100.0,100.0,1.93965517,0.2729881,True,0.2729881
relative_strength_percentile,38,9,29,87.71929474,85.18517778,88.50574483,83.3333,100.0,-3.32056705,-0.24874173,True,0.24874173
gross_projected_target_move_percent,38,9,29,2.83523279,2.64829433,2.89324817,2.594701,2.595368,-0.24495384,-0.22681909,True,0.22681909
target_move_to_round_trip_cost_multiple,38,9,29,9.45077596,8.82764778,9.64416057,8.64900333,8.65122667,-0.8165128,-0.22681909,True,0.22681909
cost_as_percent_of_projected_target_move,38,9,29,11.52657632,12.02507778,11.37186897,11.562,11.5591,0.65320881,0.22562366,True,0.22562366
setup_score,38,9,29,99.39473684,99.22222222,99.44827586,100.0,100.0,-0.22605364,-0.14239415,True,0.14239415
signal_first_true_to_fill_hours,38,9,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0
