symbol,variant,signals,avg_breakout_percent,avg_forward_6h_pct,positive_6h_percent,avg_forward_24h_pct,positive_24h_percent,avg_forward_72h_pct,positive_72h_percent
BTCUSDT,TRUE_ATH,3,0.28652600786715315,-1.4237462034529689,0.0,-3.30231197559171,0.0,-4.0642900711649,0.0
BTCUSDT,365D_HIGH,3,0.28652600786715315,-1.4237462034529689,0.0,-3.30231197559171,0.0,-4.0642900711649,0.0
ETHUSDT,TRUE_ATH,1,0.3678704637663843,-2.556486925040169,0.0,-6.497729107380201,0.0,-5.579994944511945,0.0
ETHUSDT,365D_HIGH,11,0.7229171236684802,0.5385625977475788,72.72727272727273,1.3515420841489283,72.72727272727273,-1.140159624024311,36.36363636363637
SOLUSDT,TRUE_ATH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLUSDT,365D_HIGH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRPUSDT,TRUE_ATH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRPUSDT,365D_HIGH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINKUSDT,TRUE_ATH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINKUSDT,365D_HIGH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGEUSDT,TRUE_ATH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGEUSDT,365D_HIGH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
